module_id,season_id,lesson_id,lesson_number,lesson_title,youtube_url,youtube_id,category,is_supplementary,document_id,order_index
99,20,1054,54,How to type...Adele | How to type Famous People | CS Joseph,https://www.youtube.com/watch?v=7N0QaZTAYwg,7N0QaZTAYwg,Typing Famous People,1,,54
99,20,1055,55,How to type...Miley Cyrus | How to type Famous People | CS Joseph,https://www.youtube.com/watch?v=2PdprJ9V5RM,2PdprJ9V5RM,Typing Famous People,1,,55
99,20,1056,56,How to type...Jennifer Lopez (J Lo) | How to type Famous People | CS Joseph,https://www.youtube.com/watch?v=j8IvWy1KLXs,j8IvWy1KLXs,Typing Famous People,1,,56
99,20,1057,57,How to type...The White Stripes | How to type Famous People | CS Joseph,https://www.youtube.com/watch?v=Hmgu2x4MLEo,Hmgu2x4MLEo,Typing Famous People,1,,57
99,20,1058,58,How to Type Colonel Sanders | How to Type Famous People | CS Joseph,https://www.youtube.com/watch?v=REzEi-ZCjNw,REzEi-ZCjNw,Typing Famous People,1,,58
99,20,1059,59,How to type...C418 | How to Type Famous People | CS Joseph,https://www.youtube.com/watch?v=lqliW_IW624,lqliW_IW624,Typing Famous People,1,,59
99,20,1060,60,How to Type...Logan Paul | How to type Famous People | CS Joseph,https://www.youtube.com/watch?v=ZynsMKqfM_I,ZynsMKqfM_I,Typing Famous People,1,,60
99,20,1061,61,How to type...The Mandalorian | This is the Way | CS Joseph,https://www.youtube.com/watch?v=SiNkDGvccrU,SiNkDGvccrU,Typing Famous People,1,,61
99,20,1062,62,How to type...Thanos | Mistyping was inevitable | CS Joseph,https://www.youtube.com/watch?v=t1xEAGJAvMs,t1xEAGJAvMs,Typing Famous People,1,,62
99,20,1063,63,How to type...Suze Orman | Acolyte Member Question | CS Joseph,https://www.youtube.com/watch?v=ylp1w9IvGmA,ylp1w9IvGmA,Typing Famous People,1,,63
99,20,1064,64,Analyzing Jennifer Aniston's Mind: The Ultimate Breakdown,https://www.youtube.com/watch?v=tVq4qX5ymK0,tVq4qX5ymK0,Typing Famous People,1,,64
